genmodel_id,year,entry_price
8_45,2018.0,29455.0
8_5,1998.0,14520.0
8_5,1999.0,13650.0
8_5,2000.0,13970.0
8_5,2001.0,14520.0
8_5,2002.0,16100.0
8_5,2003.0,15825.0
8_5,2004.0,15812.0
8_5,2005.0,15812.0
8_5,2006.0,19712.0
8_5,2007.0,19807.0
8_5,2008.0,20520.0
8_5,2009.0,21175.0
8_5,2010.0,21975.0
8_5,2011.0,21975.0
8_5,2012.0,22510.0
8_5,2013.0,23005.0
8_5,2014.0,23370.0
8_5,2015.0,23370.0
8_5,2016.0,24070.0
8_5,2017.0,25525.0
8_5,2018.0,26575.0
8_5,2019.0,27540.0
8_5,2020.0,34370.0
8_7,2013.0,29005.0
8_7,2014.0,29225.0
8_7,2015.0,29225.0
8_7,2016.0,30075.0
8_7,2017.0,30075.0
8_7,2018.0,30425.0
8_9,1998.0,24230.0
8_9,1999.0,24230.0
8_9,2000.0,23180.0
8_9,2001.0,22950.0
8_9,2002.0,23360.0
8_9,2003.0,23360.0
8_9,2004.0,25297.0
8_9,2005.0,25752.0
8_9,2006.0,25752.0
8_9,2007.0,25752.0
8_9,2008.0,26810.0
8_9,2009.0,27255.0
8_9,2010.0,27860.0
8_9,2011.0,27990.0
8_9,2012.0,29975.0
8_9,2013.0,29775.0
8_9,2014.0,30210.0
8_9,2015.0,30210.0
8_9,2016.0,31060.0
8_9,2017.0,31060.0
8_9,2018.0,35620.0
14_1,2005.0,20500.0
14_1,2006.0,20500.0
14_1,2007.0,20475.0
14_1,2008.0,20475.0
14_1,2009.0,20778.0
14_1,2010.0,21730.0
14_2,2005.0,24625.0
14_2,2006.0,24625.0
14_2,2007.0,24647.0
14_2,2008.0,24647.0
14_2,2009.0,24647.0
14_2,2010.0,27117.0
14_3,2005.0,44647.0
14_3,2006.0,44647.0
14_3,2007.0,44647.0
14_3,2008.0,44647.0
14_3,2009.0,45653.0
14_3,2010.0,55215.0
14_4,2006.0,29647.0
14_4,2007.0,27747.0
14_4,2008.0,27620.0
14_4,2009.0,27057.0
14_5,2008.0,33540.0
14_5,2009.0,32826.0
14_5,2010.0,35291.0
16_10,2004.0,6832.0
16_10,2005.0,6832.0
16_10,2006.0,6932.0
16_10,2007.0,7032.0
16_10,2008.0,7100.0
16_10,2009.0,6949.0
16_11,2004.0,9312.0
16_11,2005.0,8807.0
16_11,2006.0,8807.0
16_11,2007.0,9607.0
16_11,2008.0,9770.0
16_11,2009.0,9587.0
16_11,2010.0,10740.0
16_11,2011.0,10740.0
16_11,2012.0,10970.0
16_12,2004.0,5832.0
16_12,2005.0,5832.0
16_12,2006.0,5832.0
16_13,2010.0,16090.0
16_13,2011.0,16090.0
16_13,2012.0,16090.0
16_13,2013.0,17270.0
16_13,2014.0,17815.0
16_13,2015.0,17815.0
16_13,2016.0,17815.0
16_14,2010.0,6890.0
16_14,2011.0,6890.0
16_14,2012.0,7320.0
16_14,2013.0,7320.0
16_14,2014.0,8820.0
16_14,2015.0,8820.0
16_14,2016.0,8820.0
16_16,2005.0,10792.0
16_16,2006.0,10792.0
16_16,2007.0,11067.0
16_16,2008.0,11240.0
16_16,2009.0,11187.0
16_18,2012.0,15265.0
16_18,2013.0,15265.0
16_18,2014.0,15265.0
16_18,2015.0,15265.0
16_18,2016.0,15265.0
16_19,2012.0,34940.0
16_19,2013.0,34940.0
16_19,2014.0,35200.0
16_19,2015.0,35200.0
16_19,2016.0,35200.0
16_2,2008.0,7520.0
16_2,2009.0,7360.0
16_2,2010.0,8370.0
16_2,2011.0,8830.0
16_2,2012.0,9140.0
16_2,2013.0,10240.0
16_2,2014.0,10690.0
16_2,2015.0,10690.0
